toko,kota,provinsi,alamat,latitude,longitude
Old Amsterdam antiques,Semarang,Jawa Tengah,Jl. Gajahmada No.55 Kembangsari,-6.9744384495029745,110.42053219849258
Mas Balung Lelono art,Semarang,Jawa Tengah,Jl. Srirejeki Utara XIII No.26 Kalibanteng Kidul,-6.986024904446283,110.3841399872983
Jati Kencana,Semarang,Jawa Tengah,Jl. Pekunden No. 1190 Pekunden,-6.983298705565623,110.42671200794068
nDalem Adijayan,Semarang,Jawa Tengah,Jl. Kalisari Baru No.21 Barusari,-6.989432630694239,110.41486737316518
Dulukinikuno,Semarang,Jawa Tengah,Jl. Rambutan II Lamper Lor,-7.001018714006082,110.44370648392292
KANGGOROE VINTAGE STORE,Semarang,Jawa Tengah,Jl. KANGURU SELATAN VII NO 44 Gayamsari,-6.992840332094583,110.45005795474457
Udien Barang Antique,Semarang,Jawa Tengah,Jl. Plongkowati No.3 Krobokan,-6.970519436613255,110.3853416169132
Pasar Antik Semarang,Semarang,Jawa Tengah,Jl. Garuda Old Town Tj. Mas,-6.964555658468743,110.42327878046952
Pasar Barang Antik Kota Lama,Semarang,Jawa Tengah,Jl. Letjen Suprapto No.32 Old Town Tj. Mas,-6.964385263692928,110.41898724613058
Rumah Antikan Kandjeng Moel,Semarang,Jawa Tengah,Jl. kedondong Bringin,-7.007249284715008,110.34278739892912
